"country","Cases Averted (thousands)","Deaths Averted","YLLs Averted (thousands)","YLDs Averted (thousands)","DALYs Averted (thousands)","Percent DALYs Averted","Averted Treatment Costs (thousands)","Cost of Routine Vaccination (thousand)","Cost of Campaign Vaccination (thousand)","Cost of Vaccination (thousand)","Net Costs (thousands)","Percent Cases & Deaths & Treatment Costs Averted"
"Eritrea","90614.5614047059 (34220.3128259301-180264.669813154)","503 (20-7,801)","27023.1484288591 (1038.55532214067-419705.025709813)","519.356787268727 (95.6659470734848-2531.48116685771)","27619.1950412497 (1450.58731577904-420313.716854193)","79 (53-91)","301946.476430471 (42903.793769379-2110257.79394105)","3040576.2238776 (1429757.64152527-6802579.82638256)","360593.672664436 (335082.377226345-388614.879913481)","3408058.93614478 (1796852.71146229-7175265.93656214)","2979840.95222158 (766265.454056901-6711156.58970268)","78 (50-90)"
"Ethiopia","1614632.85341192 (544136.002629027-3398696.08527193)","21,605 (1,000-339,053)","1230800.49881693 (55425.319821007-19233113.4969511)","9263.97835790394 (1558.61922793534-45272.2444983073)","1244760.66857405 (65242.0781430331-19305064.1085991)","68 (40-82)","6377253.39307515 (905008.781845111-45269184.0205387)","47572225.1115841 (22086098.8517298-105624055.683916)","5646703.03470011 (5249691.20243294-6065898.29784226)","53233288.4734469 (27818481.2572652-111198966.001179)","44140775.1188892 (3496785.22192249-104630584.048157)","67 (39-81)"
"Gambia","17986.6073370704 (54.6727420851351-36486.7783229018)","70 (0-1,550)","3512.44273025356 (6.76166688198924-75113.3925999674)","82.9306145813091 (0.231248722789713-480.806639670438)","3642.59408981082 (7.55118556139565-75612.6829903947)","80 (54-92)","94397.5905827468 (235.090330897059-764528.088322136)","1153836.67593693 (527454.204667718-2616675.68629613)","137325.428407783 (127614.847063089-147975.999696417)","1293785.07954601 (667362.880089652-2758593.96226065)","1153463.07378945 (348895.243397813-2652262.30700011)","78 (51-91)"
"Georgia","1246.34759839369 (126.413518517825-2945.36002683127)","6 (0-114)","343.889049633282 (10.7232408901455-6606.77914423754)","6.75988866508562 (0.579233922667498-37.1364401949996)","356.272900611326 (12.8228756303663-6651.19373171493)","61 (37-80)","19440.381328502 (1325.78098176459-172475.204403122)","2970120.70053605 (1680781.54347358-5824495.69011395)","1278139.27545119 (1183068.48184798-1416268.75678266)","4228939.12334179 (2948068.98270962-7197742.89398696)","4205298.26709608 (2918135.08720903-7177849.56073513)","57 (33-77)"
"Ghana","301740.397019554 (176258.795411307-432810.507492312)","1,682 (71-24,734)","84389.72001962 (3629.67163133847-1217792.47596118)","1804.70461752145 (409.159173432699-6639.38450200536)","86183.9505327184 (5563.11068157363-1221610.89204126)","79 (53-91)","1999853.68947176 (424696.670928054-11976391.9044217)","28416880.5519342 (21532098.8385371-37837907.5987025)","1896713.33225395 (1759137.66659399-2514097.18936382)","30327018.019407 (23435876.4516528-39746842.3596327)","27682310.6486839 (16578941.9959713-37891878.7973859)","78 (50-91)"
"Guinea","179622.410859966 (24706.8285150203-507125.900256849)","908 (29-18,236)","44538.5110460091 (1367.35115509045-903584.222086831)","992.185943233026 (95.8583272198289-6320.45550619609)","45695.6678357037 (2068.64352803482-905291.079222636)","74 (45-87)","768850.450975977 (72586.6073467636-6932920.26606903)","5121841.33711623 (2341327.7131415-11616050.4759766)","870058.510306959 (809095.516547111-936050.515353955)","5996904.74719993 (3225929.03327618-12515748.1651249)","4913435.449775 (-1034847.59235095-11464209.7696855)","73 (43-86)"
"Guinea Bissau","10547.0856312108 (999.117049956323-33826.3532969693)","54 (1-1,077)","2370.63579173465 (56.5312034994266-47391.5850992321)","56.689925425591 (4.36394234395072-399.640105930142)","2450.15859711818 (81.8321332619635-47589.2573834457)","79 (53-91)","53805.5651492036 (3686.74561774626-458572.112953103)","1030463.69684453 (471903.447010698-2332476.99414174)","127364.536508383 (118353.572906864-137211.50485141)","1159941.67822407 (601065.285258812-2464134.44497694)","1073265.02166964 (435794.957237966-2421755.57957552)","77 (50-90)"
"Guyana","458.07800106214 (37.8397024215331-1886.95105846355)","2 (0-53)","122.210541021016 (3.16057669843851-2978.08579543253)","2.65128668506257 (0.163142878876501-19.2016082937645)","125.47583056677 (4.00824184297358-2989.53592069696)","64 (38-81)","8564.96407245846 (533.68015409188-83923.4657984187)","439688.003098305 (297102.73072866-754787.403389399)","244208.072970001 (226194.331136964-270593.821186522)","683635.381106047 (539832.525623398-1012247.37686912)","666908.26504632 (509955.889616065-992206.671532665)","60 (34-80)"
"Haiti","9808.21974695142 (900.151004600463-41106.1685892885)","50 (1-1,098)","2309.19337798274 (60.0828004805798-52165.0628398974)","53.3120899430382 (3.39219489766104-427.391275003837)","2368.10879818279 (75.540264528012-52309.6569537405)","63 (39-81)","59506.1834281927 (3910.09017684168-560172.745945437)","3366607.68872806 (1427071.27038681-7804093.23707706)","544396.021916162 (505888.710221059-586918.043400104)","3915423.38392591 (1974877.45220471-8366274.41224018)","3802116.17004323 (1795433.88677516-8211266.89241105)","60 (35-79)"
"Honduras","4997.53373442559 (543.325457831321-20611.9310535653)","25 (1-589)","1513.0256824823 (44.3241148971699-35490.4057034787)","27.8097216564793 (2.1260078455424-224.440145255845)","1559.05931376509 (57.511956111994-35585.1387629069)","70 (44-86)","68706.8283963321 (5431.00563377031-758702.715392165)","6660732.79005777 (4502235.14803678-11433486.8335561)","3843636.87072709 (3558282.72092159-4252956.23474407)","10495352.0530102 (8315348.87994938-15478281.6269516)","10378886.0345036 (8075513.26092129-15332505.3019743)","68 (41-84)"
"India","21024988.811806 (6313703.6255219-41355520.3566418)","214,437 (36,946-1,107,879)","12530490.515089 (2069286.06185852-65347740.8197736)","116186.32733088 (20102.4298580661-567018.481516016)","12693445.6970917 (2121792.08403658-65747360.829194)","62 (39-76)","358336608.192941 (78637983.358815-1101987384.70054)","816452351.807404 (606404534.967258-1285611186.6615)","472006127.873578 (437029600.871384-522619124.0444)","1290570450.5356 (1074659153.52755-1762449608.45236)","933003058.666428 (146474635.558653-1521840208.70966)","60 (37-75)"
"Indonesia","76704.3523765272 (10088.4026872509-332202.073542654)","167 (15-1,445)","9869.31624885878 (884.671694295692-87544.2260373121)","462.981347942815 (33.4843257055529-3807.28549677085)","10727.3072639847 (995.929049644111-90856.9423832792)","62 (39-76)","1729715.27213309 (203247.597738892-9494761.73467199)","149360269.394232 (110936308.21263-234458620.904485)","97832150.6298716 (90584685.8278159-108307716.170895)","247633704.605834 (207964357.736403-332941786.061412)","245005957.750925 (205260065.021464-331024522.552376)","60 (37-75)"
"Kenya","611952.399428085 (380681.764728008-819926.385282572)","5,092 (280-70,157)","255168.235269872 (14250.1398126177-3554744.38779483)","3786.48998376251 (906.631269276943-12877.2016068911)","259491.340944665 (17962.185345804-3561261.28543574)","78 (50-90)","4657359.09328078 (979477.582724601-26750437.1160475)","33936418.2807932 (20922380.6135692-63855285.4608529)","3187594.72430597 (2956879.44468788-4225194.56395334)","37168132.2123476 (24133762.332258-67490075.6699727)","31306717.8486172 (5586714.23600104-61750982.335192)","76 (48-89)"
"Kiribati","1722.4741631948 (331.594176077572-4305.23287611823)","9 (0-164)","516.07670166415 (16.5220244080579-9512.34842023308)","10.0035114884687 (1.07443131470849-54.1601040242238)","524.968652546711 (24.3670854394867-9526.94263103398)","70 (41-85)","23728.2369573201 (2832.79288204699-197578.967606942)","65934.2363595544 (55097.2947455986-90004.3950031252)","53720.3197687976 (49745.4072146117-59516.0566130272)","120091.369459209 (107667.93092444-144413.892097844)","95713.6369090799 (-80319.9153527232-130282.401477961)","69 (39-84)"
"Kyrgyz Republic","3824.26907235356 (247.161992288814-8923.17498559394)","17 (0-364)","980.386773098589 (24.4421322417277-21281.8389564295)","19.5606467119873 (1.30832522982106-113.787414294748)","1012.19383130938 (32.6674150963416-21325.1941715727)","71 (44-87)","22657.7449632376 (1537.62420539809-198118.894343066)","4911915.53430146 (1984506.9746157-11391428.9728749)","301952.686551103 (280201.022966493-400382.507953705)","5215478.65965279 (2273723.28236148-11720535.0457551)","5168015.94816887 (2237383.44077632-11714691.1521752)","68 (41-85)"
"Lao PDR","174791.795983908 (34183.5125164839-374323.264036359)","266 (6-8,504)","15066.2180151493 (374.1895880269-482944.410277184)","977.68182578379 (118.724472299033-5013.77403744291)","16417.9636015388 (831.06649630803-486054.465974165)","69 (40-83)","1128175.66322174 (141692.942308634-8804494.31818111)","3146454.98392804 (2606011.85530932-4507416.79801348)","417315.413146961 (332181.670783953-578743.651635184)","3574531.46396145 (3017299.59975452-4959255.76385444)","2435567.05604297 (-5071633.67538971-4162201.81533258)","67 (38-82)"
"Lesotho","1555.99096732105 (199.069211673753-4922.99172191506)","8 (0-162)","304.037366853039 (9.08069444901169-6549.39311882255)","8.94704979914667 (0.79182379059186-57.3004649907106)","313.916006168623 (13.7216672277969-6557.41635108765)","73 (44-87)","11465.818799776 (1112.54780866755-96202.0338055272)","1022254.84799863 (569290.192116835-2066652.70196007)","108335.767147864 (100513.246520321-143592.288936924)","1132388.30725142 (679078.343912941-2185431.82131673)","1114934.79463167 (653220.433734367-2181077.86647384)","71 (41-86)"
"Liberia","153381.039348858 (677.780572459312-516713.035730245)","667 (2-15,266)","31977.6605909212 (102.271712170415-740738.024340734)","810.307168727093 (3.22832900297932-5874.27907395637)","33105.7249724809 (116.530056063802-745836.492846636)","76 (50-90)","535043.355107532 (2162.43652834653-5573062.0012621)","2489369.74032077 (1139940.70278426-5634321.12456674)","311168.504997153 (289258.252508699-335307.548031646)","2805809.87119353 (1455462.20011312-5955985.73620537)","2083973.90863346 (-2689526.50052558-5406835.65065131)","73 (47-89)"
"Madagascar","862209.807019686 (165030.603164069-1908040.7211655)","4,260 (153-79,382)","232675.039258799 (8127.9770284744-4256933.00387133)","4763.17364863169 (523.563602961882-24896.9217272035)","238967.433435609 (11103.5859351314-4293324.73314143)","74 (45-87)","3275215.15114552 (379135.820598155-24173822.2314715)","10279684.6745605 (4707548.27554823-23260791.8562488)","1674053.55152171 (1555534.14955183-1805153.61630396)","11975171.5349165 (6400200.86346017-24990698.8406564)","7969192.37453774 (-12017523.2741855-22121218.0232971)","72 (42-86)"
"Malawi","83230.8735775032 (22870.6218777678-182295.619874139)","425 (17-7,708)","22036.1207453883 (896.792771830827-410514.798996874)","464.059512537136 (78.627706129887-2283.75067578355)","22625.1574036467 (1173.87044076455-410994.356757937)","78 (51-90)","388628.62259539 (52672.6092406718-2651301.14709047)","9206054.91735321 (4216490.15679408-20814475.5157377)","1187874.42113854 (1103860.46961092-1280179.8170993)","10411148.2088508 (5416889.17615358-22042218.9888751)","9880399.9049914 (4521506.76276646-21618880.8135929)","77 (48-89)"
"Mali","61119.7863848024 (22176.4354599362-148166.293012435)","334 (13-5,268)","16212.0247723804 (633.739230164997-254692.750543224)","367.61557192178 (64.3545039035066-1788.31741882149)","16714.569571555 (1022.62510488266-256449.865688102)","78 (50-90)","332037.333678178 (53262.1389596379-2136276.2273467)","9350201.19867061 (4274676.78211145-21195498.3080783)","1213994.85537828 (1128294.96263696-1308380.66970357)","10585438.5707731 (5507913.97836716-22450182.47197)","10050526.5755976 (4817882.61620835-22082608.3920037)","77 (48-89)"
"Mauritania","9801.38145815865 (3616.35914892419-20484.7623235225)","52 (2-896)","2780.66991295161 (115.734774673974-47953.9894915973)","57.0166216146879 (11.1532320233792-262.431771746902)","2824.30055180457 (167.640381095929-48113.3703216025)","77 (51-89)","70503.5368378385 (12278.4938756909-504659.758804035)","2401657.87721919 (1301955.84626342-4932096.42176143)","281434.28795015 (261098.114205329-373075.821695419)","2687132.61664083 (1585379.59748418-5250886.16883934)","2576946.67275532 (1442736.03340289-5148277.02626518)","76 (48-89)"
"Moldova","679.788208063288 (39.8903601011544-1625.59404969346)","3 (0-59)","175.149571879854 (3.5700662218129-3293.69661276808)","3.52318655987486 (0.206427933875844-20.3127144084525)","179.965538029602 (5.17740759608277-3301.69144358114)","64 (39-81)","6335.57964526292 (327.155795499968-52918.8402573177)","2937423.3061562 (2414661.9646074-3601990.4124343)","1300057.91767911 (1203678.98859726-1439985.97401693)","4242036.03106971 (3704371.83294079-4930393.48546442)","4231644.32328361 (3693551.26429925-4908675.54708969)","60 (35-79)"
"Mongolia","30071.2856835332 (1901.13493303814-77167.6794092128)","145 (3-2,598)","7760.27515044987 (170.182359399177-145881.033926481)","160.228464890336 (7.88946662052098-977.919952108628)","7925.4919305282 (212.827939482499-146180.232756024)","68 (43-85)","309619.553670676 (16759.4420421994-2792816.64201565)","1842704.15669341 (1539033.49994104-2517651.85252283)","1410479.11462275 (1305367.31589759-1561318.84685614)","3262502.09348071 (2921361.63142295-3945690.44525854)","2916100.63986321 (499947.541540167-3716223.54691928)","64 (40-83)"
"Mozambique","246368.19796725 (72605.0074538455-530748.104487828)","1,328 (51-23,656)","59053.0700954497 (2251.65871592856-1027669.35266461)","1406.79711510065 (227.656611920201-6598.98408615422)","61035.9422759411 (3579.58795554207-1030163.06283466)","80 (53-91)","1169605.53285425 (165909.706643801-8019465.8105947)","15879569.3165241 (7259305.24932026-36011600.668134)","1929856.02953862 (1793664.14838397-2079873.27532112)","17845717.8671856 (9223152.0812606-38005401.0131888)","16256193.2072997 (5878319.99512276-36187726.2034665)","78 (51-91)"
"Myanmar","571789.618729644 (120982.504781749-1074923.06665303)","2,869 (113-47,634)","157249.098243349 (6054.1271215285-2602858.89232319)","3183.07243222184 (430.725319136198-14690.5634526784)","161665.48467282 (7990.90917897025-2606057.57600856)","65 (38-81)","3091331.84252223 (403625.592337628-19926535.9453577)","17436121.9890232 (10872340.70861-32769245.3171416)","1835452.55478826 (1703326.38958074-2431987.37887692)","19275496.7482813 (12730070.4280463-34752392.0060127)","15615775.362092 (-1429099.84989818-31186710.2975537)","61 (35-79)"
"Nepal","435596.463850976 (171988.445394905-811971.73314343)","2,280 (98-34,927)","137574.992783653 (5996.64529382103-2136468.35982028)","2490.50093955443 (451.495833008785-10795.2957642874)","139780.315145255 (7912.94909553963-2140351.54458959)","71 (44-85)","1997855.14467778 (330426.477599998-14193088.460848)","9887716.82843285 (5021199.22008903-21391228.7957608)","1443292.90164844 (1341484.20560108-1555709.79460706)","11337222.6828961 (6483355.15129836-22882815.8486777)","8675793.73737799 (-3234830.26975988-20630905.5605172)","70 (42-84)"
"Nicaragua","4262.56656516684 (332.37817395314-18166.1182079108)","22 (0-513)","1303.45295169101 (29.2801810524902-30988.2497510695)","23.8242474443374 (1.37089128073334-204.329713380754)","1364.29101068836 (42.236774786214-31009.9639097741)","70 (45-86)","45991.1412525252 (2754.51468374394-539752.081465393)","4604963.18295061 (2935150.75956069-8351281.56171317)","313464.56582291 (287848.57962226-546046.845193973)","4934655.56472167 (3270408.66286912-8798083.04574541)","4850306.18331598 (3106898.00185811-8726364.86419621)","67 (41-85)"
"Niger","240247.518143481 (30136.3665825879-600770.501641323)","1,237 (30-23,054)","64068.8155036725 (1546.74028555797-1171205.27265032)","1307.88375473946 (133.780382718934-7495.40214821014)","66323.0798455036 (2228.69030308591-1173396.16402754)","78 (49-90)","885645.87115864 (69454.5208787394-7323591.69395615)","10342054.1632172 (4734535.03611451-23413697.5574292)","1372788.2327673 (1275720.59300398-1479338.21171119)","11739859.4342731 (6124255.25343709-24832378.8011097)","10352094.011983 (2459385.08458584-23607956.7405354)","76 (46-89)"
"Nigeria","5216779.16785283 (2379326.28632753-9362639.46973752)","97,503 (7,109-1,069,878)","3909189.56363173 (279361.78439297-43023122.967415)","30502.3139684636 (6114.00315556425-125356.10079291)","3947240.03736438 (304583.085189714-43114835.1262475)","67 (43-81)","44485022.7426495 (8324378.73743272-305018428.213215)","116939618.959222 (80239936.7272927-199414042.978424)","13800322.0151389 (9899264.97482518-23592665.5690366)","131438494.760342 (93499752.2889537-212190663.872191)","85014652.2193073 (-175966763.060025-174035244.754302)","65 (41-80)"
