,Country,ISO3,Alpha,Beta
1,Bangladesh,BGD,79.27975506,184.3185149
2,India,IND,6.082979521,233.7540059
3,Nepal,NPL,4.264745037,313.4852345
4,Pakistan,PAK,33.4897324,33.72379273
5,Cambodia,KHM,5.007350949,3.038957774
6,Indonesia,IDN,1,46
7,DRC,COD,69.76815992,122.3236299
8,Tajikistan,TJK,31,3
9,Uzbekistan,UZB,21.69057327,134.762784
10,Nigeria,NGA,58,1
11,Ghana,GHA,19,11
12,Kenya,KEN,40,14
13,Tanzania,TZA,19,26
14,Burkina Faso,BFA,1,30
