Region,Alpha,Beta
South Asia,93.32762804,14.831219
Southeast Asia,1.125273987,1.145330706
East Asia,2.507423585,7.603828466
Central Asia,166.3431286,19.75339742
Western Sub-Saharan Africa,0.375167055,0.636183277
Western & Central Sub-Saharan Africa,0.53257636,1.779861412
Eastern Sub-Saharan Africa,26.53188166,85.24834122
Southern Africa,0.946238991,7.912778302
North Africa & Middle East,4.345326974,56.71686159
Latin America,2.110692463,13.83309681
